Category,Ref Code,Bar Code,Name,Sell Price,Cost,Buy Price
Beer,7199030005,7199030005,Coors 6pk bottle,7.19,0,0
Beer,27,27,12oz Busch Can,22,0,0
Beer,19,19,24oz Bud Bottle Case,25,0,0
Beer,1820000381,1820000381,180 Energy Drink,2.09,0,0
Beer,18200001062,18200001062,6pk BudLight Can,6.79,0,0
Beer,8500000126,8500000126,B&J Margarita 4Pk,6.59,0,0
Beer,8500000127,8500000127,B&J Margarita Single,1.79,0,0
Beer,8043240324,8043240324,Seagram's Bahama Mama Single,1.79,0,0
Beer,8043210345,8043210345,Jamaican Me Happy Single,1.79,0,0
Beer,1.82E+11,1.82E+11,Single 16oz Busch,0.92,0,0
Beer,33,33,Michelob Ultra Light Case,27,0,0
Beer,1820025000,1820025000,Budweiser 25 Oz,2.09,0,0
Beer,21,21,12oz Bud Can Case,25,0,0
Beer,8043280253,8043280253,Seagrams Strawberry Daiquiri,1.79,0,0
Beer,8474640020,8474640020,Sex On The Beach,1.39,0,0
Beer,3.41E+11,3.41E+11,16oz Miller Lite 6pk,7.19,0,0
Beer,7125000090,7125000090,18oz Colt 45,1.1,0,0
Beer,7825000493,7825000493,Sparks Red 4 pk,6.79,0,0
Beer,9239500209,9239500209,Drank 2oz,2.09,0,0
Beer,8500001671,8500001671,Boones Cherry ,3.79,0,0
Beer,1820000353,1820000353,24 oz Budlight Bottle,2.19,0,0
Beer,7199000007,7199000007,Coors Golden Banquet ,1.1,0,0
Beer,8200075747,8200075747,Smirnoff Screwdriver Single Bo,1.69,0,0
Beer,30,30,Natural Ice Case,20,0,0
Beer,1820000833,1820000833,12 oz Budlight 6pk Bottle,7.09,0,0
Beer,1820053047,1820053047,12 pk Budlight Cans,13.39,0,0
Beer,8500000130,8500000130,B & J Strawberry 4pk,6.89,0,0
Beer,7825000490,7825000490,Sparks Single,1.78,0,0
Beer,1820000135,1820000135,Budweiser Pinball,1.49,0,0
Beer,7.20E+11,7.20E+11,Coors Single,1.29,0,0
Beer,1820000191,1820000191,7 oz Budlight Bottle Single,0.89,0,0
Beer,3410057509,3410057509,Miller Lite 12pk Bottles,12.76,0,0
Beer,71990320002,71990320002,6pk Coors Light Cans,6.79,0,0
Beer,7199000047,7199000047,Coors 12Pk,13.25,0,0
Beer,1820006991,1820006991,Michelob Ultra 12pk Cans,16.19,0,0
Beer,1820000834,1820000834,12 oz Bud Bottle 6 PK,7.09,0,0
Beer,7825000461,7825000461,Sparks Black Single,1.78,0,0
Beer,3410000367,3410000367,Miller Lite  18oz  Bottle,1.49,0,0
Beer,1820025003,1820025003,Busch 25oz,1.79,0,0
Beer,8066095695,8066095695,Corona 12pk Cans,15.89,0,0
Beer,7199000048,7199000048,Coors 12Pk Cans,13.75,0,0
Beer,7825000479,7825000479,Sparks Black 4 pk,6.79,0,0
Beer,1820025002,1820025002,Natural Light 25oz,1.79,0,0
Beer,1820000455,1820000455,Budweiser 18 oz,1.39,0,0
Beer,1820014990,1820014990,Bud Light Lime 12pk Bottles,15.96,0,0
Beer,3410000669,3410000669,Milaukee's Best 32oz,1.79,0,0
Beer,8427999381,8427999381,Pink Cocktails 6 Pk,9.79,0,0
Beer,23,23,24oz Bud Can or Bottle,28,0,0
Beer,31,31,Natural Light Cans Case,20,0,0
Beer,1820000462,1820000462,Bud Ice 18oz ,1.39,0,0
Beer,7825000497,7825000497,Single 18oz  211 Bottle,1.19,0,0
Beer,1820000169,1820000169,12 oz Budlight Single Bottle,1.18,0,0
Beer,34,34,Bud Ice,25.5,0,0
Beer,8043240325,8043240325,Seagram's Bahama Mama,6.89,0,0
Beer,7.20E+11,7.20E+11,Coors 6pk Cans,7.19,0,0
Beer,37,37,B.L. Lime Case,31,0,0
Beer,7199009511,7199009511,Blue Moon 6pk,9,0,0
Beer,24,24,12oz Bud Bottles Case,25.5,0,0
Beer,1820096147,1820096147,Bud Lt 8oz Case,11.69,0,0
Beer,1.82E+11,1.82E+11,6pk Busch Can,5.56,0,0
Beer,1820018993,1820018993,Bud Light Platinum 6pk,8.09,0,0
Beer,1820061047,1820061047,12 pk Busch Cans,10.7,0,0
Beer,1.82E+12,1.82E+12,6pk 16oz Busch Can,5.49,0,0
Beer,1820025001,1820025001,Bud Light 25oz,2.09,0,0
